screen_name,created_at,text,retweet_count,favorite_count,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
PedroCapetti,2019-07-01T00:36:50Z,"Fim de mais um Congresso da Abraji. Voltando pra casa feliz com todo o aprendizado, com as novas amizades e essa troca incrível. Hora de colocar em prática os novos projetos e conhecimentos. Que venha 2020!",0,12,,,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1145491415247593472
PedroCapetti,2019-07-01T00:31:05Z,RT @sergiospagnuolo: Grupo de dados após um dos melhores eventos de jornalismo da história #abraji2019 https://t.co/rW3c4gw1JN,3,0,,sergiospagnuolo,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1145489967214469121
PedroCapetti,2019-06-30T19:05:41Z,"RT @trasel: A @abraji agora tem um perfil no GitHub: https://t.co/psdo2s8dB7 Além dos códigos usados nos projetos da associação, nos próximos meses vamos oferecer tutoriais e dicas para fazer jornalismo investigativo.",25,0,,trasel,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1145408077589614592
PedroCapetti,2019-06-29T15:14:28Z,"RT @barreiragabriel: Empresa que fará autódromo no Rio tem 0,14% do capital exigido; presidente é sócio de consultoria que ajudou a fazer licitação. Matéria do @felipe_grandin que tive a honra de colaborar no @g1 https://t.co/UZWkyRZyjo",448,0,,barreiragabriel,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1144987504002707458
PedroCapetti,2019-06-28T12:01:49Z,"RT @voltdatalab: O Volt lançou um pacote inédito em R para facilitar o acesso aos dados sobre disparos de armas de fogo e tiroteios no Rio de Janeiro e em Recife, em uma parceria com o @fogocruzadoapp https://t.co/sbZQWqOPwF",16,0,,voltdatalab,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1144576633539633152
PedroCapetti,2019-06-26T18:44:17Z,"RT @voltdatalab: Vamos lançar amanhã, em evento de dados no @googlebrasil, um pacote de R inédito com os dados da API do @fogocruzadoapp - para ter acesso aos dados, acesse: https://t.co/RUSxcPLIEq https://t.co/gfm79nezgl",28,0,,voltdatalab,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter Web Client,pt,1143953140720513026
PedroCapetti,2019-06-26T03:25:33Z,E viva a colaboração no Jornalismo! https://t.co/lQMmONc7nQ,0,6,,,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",TweetDeck,pt,1143721935441989632
PedroCapetti,2019-06-26T03:06:21Z,"RT @guilherme_amado: ATENÇÃO: Registros da Odebrecht mostram pagamentos de propina omitidos pela empreiteira em delação. Vazamento do sistema Drousys, obtido pelo @ICIJorg, mostra registros de fatos que não constam na delação dos executivos da empresa em diversos países. https://t.co/F1fBmoYZC3 https://t.co/KPfeFOdmEX",943,0,,guilherme_amado,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",TweetDeck,pt,1143717103121391616
PedroCapetti,2019-06-26T03:01:32Z,RT @ICIJorg: NEW: Our latest collaboration with 50 reporters across 10 countries in the Americas – the #BriberyDivision – reveals Odebrecht’s cash-for-contracts operation was even bigger than the company had acknowledged.  https://t.co/9SVCRJA3O3 #LavaJato #Odebrecht https://t.co/Kw6NtM1fwi,1101,0,,ICIJorg,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",TweetDeck,en,1143715890866900992
PedroCapetti,2019-06-25T15:00:57Z,"A história da Copa América contada por meio das figurinhas. A da edição de 1992 é a melhor:  a disposição da cena é de um gol, mas uma bola cobre toda a cara do atleta, enquanto ela, supostamente, deveria estar nas redes. 

Leitura mais que obrigatória! https://t.co/zlv6wTNjUt",0,3,,,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",TweetDeck,pt,1143534549646921729
PedroCapetti,2019-06-23T22:40:01Z,"RT @thalescmachado: Na entrevista, Marta não justifica a derrota, não culpa terceiros, não reclama do passado. Mas se preocupa com o futuro.

E faz isso sem apelar à CBF, mídia ou patrocinadores, de onde parece não esperar nada. Pede às mulheres que cuidem do futebol. Só. É aí que ela vê esperança. https://t.co/Wa7qkb4D8B",26416,0,,thalescmachado,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1142925302450012167
PedroCapetti,2019-06-23T21:41:39Z,"RT @FZanini: A última disputa nos 16 mil km de fronteira do Brasil é uma vila colada ao Uruguai. E está fazendo 85 anos. Minha matéria hoje na Folha
https://t.co/br0EYTLtoV",1,0,,FZanini,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1142910613636755466
PedroCapetti,2019-06-23T21:17:56Z,"RT @andreshalders: O vazamento de hoje do @TheInterceptBr / @folha_poder mostra a reação de Moro e procuradores ao ver a reportagem sobre a ""lista da Odebrecht"", publicada por mim e por @mateusnetzel no antigo Blog do @FR_BSB, no UOL. 

Vem com nóis pra saber detalhes dessa apuração: https://t.co/lzKqA4SzP0",146,0,,andreshalders,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1142904644903067649
PedroCapetti,2019-06-23T15:32:03Z,"@kibe_galo Pera aí, isso aqui tá melhor https://t.co/4NBx9t5fJs",1,0,kibe_galo,,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",TweetDeck,pt,1142817601598427137
PedroCapetti,2019-06-21T22:40:08Z,RT @rodrigocapelo: Eu não acho que a Marta merece ganhar menos que o Pará. Estou dizendo que há motivos mercadológicos para que o Pará ganhe mais que a Marta. O empregador dele fatura R$ 500 milhões num ano. Quanto arrecada o empregador da Marta? Como o clube da Marta vai pagar tanto ou mais? https://t.co/XWPwcfxgdI,262,0,,rodrigocapelo,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1142200557156933632
PedroCapetti,2019-06-21T03:43:27Z,"RT @rodrigocapelo: Por que Messi ganha mais do que 1.693 jogadoras de futebol feminino juntas? Adianta demandar salários iguais já? Tento neste artigo no @globoesportecom esclarecer o mercado do futebol e propor saídas mais construtivas para este quadro de desigualdade.

→ https://t.co/DOuhvizbT0 https://t.co/G2PFGeCdyR",94,0,,rodrigocapelo,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1141914500448292870
PedroCapetti,2019-06-21T03:42:03Z,Gabinete do Pão de Queijo https://t.co/8tI8ixdCOI,0,0,,,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1141914149540237312
PedroCapetti,2019-06-20T13:26:59Z,"RT @RevistaEpoca: Ana Cristina Siqueira Valle, ex-mulher de Jair Bolsonaro, foi assessora-chefe no gabinete de @CarlosBolsonaro e contratou mais sete familiares. ÉPOCA constatou, porém, que alguns deles jamais moraram no Rio.

por Juliana Dal Piva e Juliana Castro

https://t.co/ozz1NBpo2H",2005,0,,RevistaEpoca,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1141698964032565248
PedroCapetti,2019-06-19T17:33:28Z,RT @abraji: Tentativas de intimidar e silenciar um veículo são ações típicas de contextos autoritários e não podem ser tolerados na democracia que rege o país. https://t.co/5XgUDsjul8,2323,0,,abraji,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1141398607486214144
PedroCapetti,2019-06-19T14:50:48Z,"RT @JamilChade: Por contatos ilegais e troca de SMS, procuradores são afastados de investigação...na Suíça 

https://t.co/pJwTpMCHPR via @UOLNoticias @UOL",1438,0,,JamilChade,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",TweetDeck,pt,1141357668206022658
PedroCapetti,2019-06-17T20:34:38Z,O mistério das entradas da Copa América... https://t.co/V7eqMTsGzr,0,0,,,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",TweetDeck,pt,1140719422983888896
PedroCapetti,2019-06-14T19:16:55Z,Eterna inspiração https://t.co/MaXfEP9Hmb,0,0,,,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter Web Client,pt,1139612699061608448
PedroCapetti,2019-06-14T19:13:42Z,"RT @fernandobarros: Duvidar da facada em Bolsonaro, como fez Lula, é uma estupidez, que joga a favor do obscurantismo. A reação truculenta e apoplética do general Heleno é o próprio obscurantismo. Estamos fritos.",331,0,,fernandobarros,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter Web Client,pt,1139611890131361792
PedroCapetti,2019-06-14T13:27:02Z,"RT @JoelPinheiro85: A facada alimenta imaginações conspiratórias.

Para a direita, foi comandada por forças ocultas: Jean Wyllys, mídia, etc. 

Para a esquerda, nunca aconteceu.

Não é só o Adélio que é louco.",330,0,,JoelPinheiro85,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",TweetDeck,pt,1139524647861608448
PedroCapetti,2019-06-13T03:20:06Z,"RT @kibeloco: WikiLeaks, NSA, Moro, Deltan... tudo isso vai virar fichinha perto do que vai acontecer quando o tal hacker vazar as conversas do VAR no Brasileirão.",103,0,,kibeloco,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1139009523799199744
PedroCapetti,2019-06-12T14:01:28Z,"RT @sergiospagnuolo: Finalmente saiu um ensaio meu, pelo @ICFJ, com dados de mais de 300 grupos de Whatsapp durante as eleições de 2018. Foram mais de 100 mil mensagens analisadas por mim e pela @renata_mh (tudo de forma 100% anônima), onde tratamos de estudar compartilhamento de links e spam",17,0,,sergiospagnuolo,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1138808538677989377
PedroCapetti,2019-06-11T16:26:01Z,"RT @guiicaetano: Após o 2º dia do Congresso da @abraji, 28 de junho, vai rolar o Catuaba com Focas, o bar do baixo clero do jornalismo, às 20h no Largo Santa Cecília, em São Paulo. Jornalistas, apareçam :)
Um oferecimento: @tiag_uiar https://t.co/DSnnou5wPL",2,0,,guiicaetano,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1138482530292817920
PedroCapetti,2019-06-08T14:24:05Z,"RT @elenalandau: Depois manda a juíza federal resolver problemas do orçamento , regra de ouro, teto de gastos . Se cada juiz resolver definir prioridades como vai ser ? Esse Ministro é horroroso, tratou o tema pessimamente, mas a juíza está errada https://t.co/knijjfT8OG",55,0,,elenalandau,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1137364677913174016
PedroCapetti,2019-06-07T12:44:12Z,"RT @marvio: Com vocês, o guia do GLOBO das seleções da Copa do Mundo feminina.

Panoramas, destaques e histórias das 24 seleções que lutarão pelo título na França.

Uma parceria com a rede de especialistas do @guardian_sport. https://t.co/irwvAc3GhN",136,0,,marvio,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1136977155626328069
PedroCapetti,2019-06-07T01:47:25Z,"RT @UOLNoticias: Crítico do IBGE, Bolsonaro adota enquete no Facebook para embasar proposta https://t.co/I2AtjWK1Mj",409,0,,UOLNoticias,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1136811869560328192
PedroCapetti,2019-06-06T19:51:19Z,"RT @impedimento: Pai do Neymar é o novo ""irmão do Ronaldinho"".",97,0,,impedimento,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1136722252882464768
PedroCapetti,2019-06-06T17:23:30Z,"RT @RevistaEpoca: Coluna: Números mostram que não há conexão entre matar bandidos e reduzir crimes

por Giampaolo Morgado Braga

https://t.co/sPLi5u6I3Z",32,0,,RevistaEpoca,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter Web Client,pt,1136685056523755520
PedroCapetti,2019-06-06T17:03:00Z,"Pai de Neymar (@neymarjr) arrancou a câmera do fotojornalista @umarcelino no embarque do jogador após o corte da seleção. Só não esperava que ele tivesse com outra câmera... 

https://t.co/RjqH3dK3fl",0,2,,,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",TweetDeck,pt,1136679896405688321
PedroCapetti,2019-06-05T14:03:17Z,"RT @malugaspar: Minha playlist do pé na bunda: Evidências (sempre), Fio de Cabelo, Notificação Preferida e Largado às Traças. https://t.co/n5euGEZvLm",11,0,,malugaspar,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1136272283327184896
PedroCapetti,2019-06-05T02:58:31Z,Nosso querido Tupi tinha mais dinheiro na conta quando a Justiça tentou fazer o mesmo https://t.co/ZWWRBKMNpb,0,2,,,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1136104988034441216
PedroCapetti,2019-06-04T12:54:40Z,"RT @baliborio: A 'retirada' do termo 'violência obstétrica' no âmbito da saúde tem muitos poréns. Um deles é que, sem o termo, não há dados. Sem dados, nunca teremos um panorama de quando acontece, onde acontece, com quem acontece. [1/3]",123,0,,baliborio,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",TweetDeck,pt,1135892625284849666
PedroCapetti,2019-06-03T23:47:09Z,"O estudo deixa claro a preocupação de Bolsonaro com os motoristas profissionais, parte de sua base eleitoral. O estudo aponta que o caso é ""ainda mais grave"".",0,0,PedroCapetti,,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1135694439471636480
PedroCapetti,2019-06-03T23:44:52Z,"""Alcançar 20 pontos está cada dia mais comum na conjuntura brasileira”, diz parte do estudo do @MInfraestrutura , cujo acesso via Lei de Acesso à Informação foi restringido por se tratar de documento preparatório.",0,0,PedroCapetti,,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1135693867372748800
PedroCapetti,2019-06-03T23:41:09Z,"Outra mudança esperada é com relação a suspensão da CNH por infrações específicas (como dirigir embriagado), hoje feita apenas pelo Detran. O projeto poderá dar essa atribuição para guardas municipais e companhias de tráfego.",0,0,PedroCapetti,,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1135692930172280832
PedroCapetti,2019-06-03T23:37:53Z,"Uma mudança esperada é o aumento de pontos necessários para reciclagem do motorista: de 14 para 30 pontos.

A medida visa harmonizar o CTB com a alteração do limite de pontos, de 20 para 40.",0,0,PedroCapetti,,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1135692109288300549
PedroCapetti,2019-06-03T23:36:27Z,Bolsonaro apresenta amanhã na Câmara dos Deputados um projeto de lei que pretende alterar alguns pontos do Código Brasileiro de Trânsito (CTB). As mudanças devem ir além da validade da CNH de cinco para 10 anos,0,0,,,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1135691747777007616
